symbol,date,low,close,open,volume,high
BTC-EUR,2021-01-29 19:00:00,27792.953125,27960.392578125,28969.15625,17719296,29071.767578125
BTC-EUR,2021-01-29 20:00:00,27994.986328125,28607.341796875,28001.5078125,3396222976,28754.337890625
BTC-EUR,2021-01-29 21:00:00,28206.970703125,28589.705078125,28574.810546875,0,28589.705078125
BTC-EUR,2021-01-29 22:00:00,28302.98046875,28392.548828125,28578.8359375,217628672,29048.322265625
BTC-EUR,2021-01-29 23:00:00,27903.822265625,28208.3671875,28383.181640625,0,28403.53125
BTC-EUR,2021-01-30 00:00:00,28233.39453125,28332.0625,28273.03125,0,28670.203125
BTC-EUR,2021-01-30 01:00:00,28031.5703125,28031.5703125,28323.96484375,0,28700.072265625
BTC-EUR,2021-01-30 02:00:00,27876.44921875,27954.236328125,28030.107421875,0,28290.3984375
BTC-EUR,2021-01-30 03:00:00,27139.189453125,27358.78515625,27931.115234375,0,27965.603515625
BTC-EUR,2021-01-30 04:00:00,27353.451171875,27622.041015625,27372.3828125,0,27649.333984375
BTC-EUR,2021-01-30 05:00:00,27387.71875,27685.9296875,27623.5234375,0,27855.380859375
BTC-EUR,2021-01-30 06:00:00,27389.595703125,27794.0546875,27672.54296875,0,27794.0546875
BTC-EUR,2021-01-30 07:00:00,27583.169921875,28064.126953125,27800.337890625,0,28064.126953125
BTC-EUR,2021-01-30 08:00:00,27884.740234375,27909.177734375,28061.833984375,0,28256.232421875
BTC-EUR,2021-01-30 09:00:00,27915.958984375,28218.42578125,27919.54296875,0,28235.708984375
BTC-EUR,2021-01-30 10:00:00,27967.716796875,28266.712890625,28229.533203125,0,28304.423828125
BTC-EUR,2021-01-30 11:00:00,27712.951171875,27712.951171875,28256.15625,0,28256.99609375
BTC-EUR,2021-01-30 12:00:00,27628.40625,27840.74609375,27718.275390625,0,27840.74609375
BTC-EUR,2021-01-30 13:00:00,27799.212890625,28234.6875,27836.525390625,0,28234.6875
BTC-EUR,2021-01-30 14:00:00,28062.12109375,28152.35546875,28233.685546875,0,28252.71875
BTC-EUR,2021-01-30 15:00:00,28080.796875,28227.51171875,28146.80859375,0,28362.23046875
BTC-EUR,2021-01-30 16:00:00,27679.353515625,27944.6953125,28213.37890625,0,28222.623046875
BTC-EUR,2021-01-30 17:00:00,27946.400390625,28191.4296875,27947.283203125,0,28191.4296875
BTC-EUR,2021-01-30 18:00:00,28117.3515625,28251.7890625,28190.099609375,0,28255.79296875
BTC-EUR,2021-01-30 19:00:00,28077.912109375,28245.033203125,28256.79296875,0,28296.60546875
BTC-EUR,2021-01-30 20:00:00,28144.013671875,28144.013671875,28246.71484375,0,28325.986328125
BTC-EUR,2021-01-30 21:00:00,28076.3125,28399.083984375,28128.65234375,12488704,28399.083984375
BTC-EUR,2021-01-30 22:00:00,28401.1015625,28467.228515625,28401.1015625,0,28583.513671875
BTC-EUR,2021-01-30 23:00:00,28220.900390625,28260.126953125,28458.521484375,18534400,28458.521484375
BTC-EUR,2021-01-31 00:00:00,27949.58984375,28060.4296875,28234.41796875,0,28249.916015625
BTC-EUR,2021-01-31 01:00:00,28003.3125,28170.60546875,28061.75,0,28170.60546875
BTC-EUR,2021-01-31 02:00:00,27802.666015625,27841.7265625,28169.013671875,127258624,28176.177734375
BTC-EUR,2021-01-31 03:00:00,27783.12109375,27934.458984375,27841.412109375,0,28016.05859375
BTC-EUR,2021-01-31 04:00:00,27871.564453125,28032.2734375,27939.33203125,0,28047.51953125
BTC-EUR,2021-01-31 05:00:00,27766.388671875,27824.75390625,28030.603515625,0,28030.603515625
BTC-EUR,2021-01-31 06:00:00,27707.669921875,27716.32421875,27818.689453125,0,27850.029296875
BTC-EUR,2021-01-31 07:00:00,27634.0234375,27659.927734375,27724.0703125,0,27835.93359375
BTC-EUR,2021-01-31 08:00:00,27604.666015625,27631.0234375,27666.28125,0,27816.37109375
BTC-EUR,2021-01-31 09:00:00,27496.958984375,27496.958984375,27627.79296875,0,27777.384765625
BTC-EUR,2021-01-31 10:00:00,27421.46875,27709.474609375,27494.6953125,55582720,27735.88671875
BTC-EUR,2021-01-31 11:00:00,27625.435546875,27675.7578125,27712.138671875,0,27768.142578125
BTC-EUR,2021-01-31 12:00:00,27538.763671875,27979.638671875,27674.111328125,847626240,28109.71484375
BTC-EUR,2021-01-31 13:00:00,27706.49609375,27706.49609375,27993.822265625,0,28021.767578125
BTC-EUR,2021-01-31 14:00:00,27517.587890625,27517.587890625,27711.16015625,0,27756.03125
BTC-EUR,2021-01-31 15:00:00,26930.46875,27100.69140625,27521.318359375,1137463296,27550.380859375
